Am	I	not	more	to	you	than	ten	sons	?																															
O	O	O	O	O	O	O	O	O	O																															
Suo	padre	Henry	Apps	morì	durante	questo	periodo	;	questo	potrebbe	essere	stata	la	ragione	per	alcune	ferie	.																						
O	O	B	I	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																						
So	unfair	Jeff	,	Double	Standard	.																																		
O	O	O	O	B	I	O																																		
Così	ingiusto	Jeff	,	doppio	standard	 .																																		
O	O	O	O	B	I	O																																		
Did	the	truth	that	they	found	help	them	??																																
O	O	O	O	O	O	O	O	O																																
la	verità	che	hanno	trovato	li	ha	aiutati	??																																
O	O	O	O	O	O	O	O	O																																
He	said	:	O	my	people	!	here	there	are	my	daughters	they	are	purer	for	you	.																							
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																							
Disse	:	«	O	popol	mio	,	ecco	le	mie	figlie	sono	più	pure	per	voi	.																								
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																								
And	nobody	understands	Emperor	Norton	.																																			
O	O	O	B	I	O																																			
E	nessuno	capisce	Emperor	Norton	.																																			
O	O	O	B	I	O																																			
Perhaps	that	’s	why	I	discovered	my	father	’s	work	so	late	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
Forse	è	per	questo	che	ho	scoperto	il	lavoro	di	mio	padre	così	tardi	.																										
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																										
Quando	nasci	è	una	roulette	.																																			
O	O	O	O	O	O																																			
Quando	nasci	è	una	roulette	.																																			
O	O	O	O	O	O																																			
We	thought	he	was	as	old	as	the	Hills	of	Tullow	.																													
O	O	O	O	O	O	O	O	B	I	I	O																													
Noi	pensavamo	che	fosse	tanto	vecchio	quanto	le	colline	di	Tullow	.																													
O	O	O	O	O	O	O	O	B	I	I	O																													
Sid	Justice	with	Power	Bomb	!																																			
B	I	O	B	I	O																																			
Sid	Justice	con	Power	Bomb	!																																			
B	I	O	B	I	O																																			
(	Franke	1950	)	These	are	sentiments	with	which	many	would	thoroughly	agree	.																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
(	Franke	1950	)	Questi	sono	sentimenti	con	i	quali	molti	sarebbero	totalmente	d'	accordo	.																									
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																									
He	said	,	Why	blame	it 	on	me	?																																
O	O	O	O	O	O	O	O	O																																
Disse	:	«	Cosa	mai	ti	impedisce	di	,	nonostante	il	Mio	ordine	?	»	.																									
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																									
Empathy	with	this	customer	.																																				
O	O	O	O	O																																				
Empatia	con	questo	cliente	.																																				
O	O	O	O	O																																				
Let	the	heavens	be	glad	and	let	the	earth	rejoice	.																														
O	O	O	O	O	O	O	O	O	O	O																														
lasciate	che	gioiscano	i	cieli	e	lasciate	che	la	terra	si	rallegri	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
Addu	:	he	covers	the	heaven	and	thunders	the	earth	with	his	melodious	voice	.																										
O	O	O	O	O	O	O	O	O	O	O	O	B	I	O																										
Addu	:	copre	il	cielo	e	tuona	la	terra	con	la	sua	voce	armoniosa	.																										
O	O	O	O	O	O	O	O	O	O	O	O	B	I	O																										
Tell	a	judge	:	You	want	the	truth	?																																
O	O	O	O	O	O	O	O	O																																
Dire	a	un	giudice	:	Vuoi	 la	verità	?																																
O	O	O	O	O	O	O	O	O																																
1978	–	...	Ma	cosa	vuoi	che	sia	una	canzone	.																														
O	O	O	O	O	O	O	O	O	O	O																														
1978	–	...	Ma	cosa	vuoi	che	sia	una	canzone	.																														
O	O	O	O	O	O	O	O	O	O	O																														
This	was	the	difference	between	the	Nazarean	and	the	others	.																														
O	O	O	O	O	O	O	O	O	O	O																														
Questa	era	la	differenza	tra	i	Nazareni	e	gli	altri	.																														
O	O	O	O	O	O	O	O	O	O	O																														
For	our	children	and	for	you	,	Samantha	.																																
O	O	O	O	O	O	O	O	O																																
Per	i	nostri	figli	e	per	te	,	Samantha	.																															
O	O	O	O	O	O	O	O	O	O																															
I	have	to	write	six	operas	,	then	goodbye	to	everything	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
Devo	scrivere	altre	sei	opere	,	poi	addio	a	tutto	 .																														
O	O	O	O	O	O	O	O	O	O	O																														
God	's	way	is	not	man	's	way	.																																
B	I	I	O	O	B	I	I	O																																
La	via	di	Dio	non	è	la	via	dell'	uomo	.																														
O	B	I	I	O	O	O	B	I	O	O																														
In	particular	,	the	Critical	Review	said	,	we	often	lose	Dr	.	Johnson	.																										
B	I	O	O	B	I	O	O	O	O	O	B	I	I	O																										
In	particolare	,	il	Critical	Review	scrisse	,	spesso  	smarriamo	il	Dr	.	Johnson	.																										
B	I	O	O	B	I	O	O	O	O	O	B	I	I	O																										
All	crimes	begin	with	a	lie	as	we	say	in	Japan	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
Tutti	i	crimini	cominciano	con	una	bugia	come	diciamo	in	Giappone	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
Whether	you	like	it	or	not	,	history	is	on	our	side	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
Che	vi	piaccia	o	no	,	la	storia	è	dalla	nostra	parte	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
Iceland	also	has	the	most	extensive	and	progressive	child	protection	law	.																													
O	O	O	O	O	O	O	O	B	I	I	O																													
L'	Islanda	ha	anche	la	più	ampia	e	progressista	legge	sulla	protezione	dei	bambini	.																										
O	O	O	O	O	O	O	O	O	B	I	I	I	I	O																										
the	mountain	was	renamed	in	their	honor	.																																	
O	O	O	O	O	O	O	O																																	
Il	monte	venne	rinominato	in	onore	loro	.																																	
O	O	O	O	O	O	O	O																																	
Do	you	know	what	Sherman	did	?	)	.																																
O	O	O	O	O	O	O	O	O																																
Lo	sai	cosa	fece	Sherman	?	)	.																																	
O	O	O	O	O	O	O	O																																	
What	made	you	leave	your	companions	!																																		
O	O	O	O	O	O	O																																		
Cosa	ti	ha	fatto	abbandonare	i	tuoi	compagni	!																																
O	O	O	O	O	O	O	O	O																																
It	had	always	been	one	of	my	favorites	,	Baby	Blue	.																													
O	O	O	O	O	O	O	O	O	B	I	O																													
Era	sempre	stata	una	delle	mie	preferite	,	Baby	Blue	.																														
O	O	O	O	O	O	O	O	B	I	O																														
Austria	needs	a	crown	!																																				
O	O	O	O	O																																				
L'	Austria	ha	bisogno	di	una	corona	!																																	
O	O	O	O	O	O	O	O																																	
The	letter	read	:	“	In	the	name	of	Allah	,	the	Beneficent	,	the	Merciful	.																								
O	O	O	O	O	B	I	I	I	I	O	O	O	O	O	O	O																								
La	lettera	diceva	:	“	Nel	nome	di	Allah	,	il	Beneficiario	,	il	misericordioso	.																									
O	O	O	O	O	B	I	I	I	O	O	O	O	O	O	O																									
It	is	known	that	,	in	recent	years	,	Moldovan	oligarchs	began	to	control	everything	.																									
O	O	O	O	O	O	B	I	O	B	I	O	O	O	O	O																									
È	risaputo	che	,	negli	ultimi	anni	,	gli	oligarchi	moldavi	abbiano	incominciato	a	controllare	tutto	.																								
O	O	O	O	O	B	I	O	O	B	I	O	O	O	O	O	O																								
Notes	:	Reggie	Jackson	currently	wears	the	number	1	.																															
O	O	B	I	O	O	O	O	O	O																															
Note	:	Reggie	Jackson	indossa	attualmente	il	numero	1	.																															
O	O	B	I	O	O	O	O	O	O																															
What	if	whoever	is	driving	them	gets	a	heart	attack	?																														
O	O	O	O	O	O	O	O	B	I	O																														
Che	cosa	succede	se	chiunque	li	stia	accompagnando	ha	un	attacco	di	cuore	?	 .																										
O	O	O	O	O	O	O	O	O	O	B	I	I	O	O																										
There	was	no	more	Radical	Islamic	Terror	for	35	years	!																														
O	O	O	O	B	I	I	O	O	O	O																														
Non	ci	fu	più	terrorismo	islamista	radicale	per	35	anni	!	.																													
O	O	O	O	B	I	I	O	O	O	O	O																													
Commonly	,	when	a	Guardian	is	defeated	or	has	been	out	for	too	long	,	it	returns	to	its	stone	.																				
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																				
Di	solito	,	quando	un	guardiano	viene	sconfitto	o	è	stato	assente	per	troppo	tempo	ritorna	alla	sua	pietra	.																					
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																					
The	episode	was	titled	'	I	Was	An	Ugly	Teen	.																														
O	O	O	O	O	B	I	I	I	I	O																														
L'	episodio	si	intitola	I	Was	An	Ugly	Teen	.																															
O	O	O	O	B	I	I	I	I	O																															
“	        There                                                                                                            	was	an	American	and	National	League	in	baseball	,	 why	not	in	football	?	”																								
O	O	O	O	B	I	I	I	O	O	O	O	O	O	O	O	O																								
“	C'	era	un	campionato	americano	e	nazionale	nel	baseball	,	perché	non	nel	football	?	”																								
O	O	O	O	B	I	I	I	O	O	O	O	O	O	O	O	O																								
Eutelsat	70A	has	suffered	numerous	problems	.																																		
B	I	O	O	O	O	O																																		
Eutelsat	70A	ha	sofferto	numerosi	problemi	.																																		
B	I	O	O	O	O	O																																		
Avgad	replaces	each	letter	by	the	next	one	.																																
O	O	O	O	O	O	O	O	O																																
Avgad	-	rimpiazza	ciascuna	lettera	con	la	successiva	.																																
O	O	O	O	O	O	O	O	O																																
Conan	has	a	lot	to	mention	:	Or	any	three	or	four	clans	.																											
O	O	O	O	O	O	O	O	O	O	O	O	O	O																											
Conan	ha	molto	da	dire	:	      Oppure	ogni	tre	o	quattro	clan	.																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
How	many	brothers	and	sisters	find	themselves	in	this	situation	!																														
O	O	O	O	O	B	I	O	O	O	O																														
Quanti	fratelli	e	sorelle	si	trovano	in	questa	situazione	!																															
O	O	O	O	O	O	O	O	O	O																															
What	would	he	not	give	to	his	children	who	ask	,	since	he	has	already	granted	them	the	gift	of	being	his	children	?																	
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																	
Cosa	non	darebbe	ai	suoi	figli	che	chiedono	,	dal	momento	che	ha	già	concesso	loro	il	dono	di	essere	suoi	figli	?																		
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																		
To	Create	and	foster	a	spirit	of	understanding	among	the	peoples	of	the	world	.																										
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																										
Creare	e	promuovere	uno	spirito	di	comprensione	fra	i	popoli	mondo	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
Who	do	you	want	to	believe	?	»																																	
O	O	O	O	O	O	O	O																																	
A	chi	volete	credere	?																																				
O	O	O	O	O																																				
The	entire	world	of	skateboarding	respects	Jake	.																																	
O	O	B	I	I	O	O	O																																	
L'	intero	mondo	dello	skateboarding	rispetta	Jake	.																																	
O	O	B	I	I	O	O	O																																	
They	will	either	repent	or	quit	the	practice	of	mental	prayer	.																													
O	O	O	O	O	O	O	B	I	I	I	O																													
In	caso	costui	si	pentirà	o	abbandonerà	la	pratica	della	preghiera	mentale	.																												
O	O	O	O	O	O	O	O	B	I	I	I	O																												
Why	did	I	decide	to	do	a	series	?																																
O	O	O	O	O	O	O	O	O																																
Perché 	ho	deciso	di	fare	una	serie	?																																	
O	O	O	O	O	O	O	O																																	
Berlin	and	its	decadence	was	a	good	idea	.																																
O	O	O	O	O	O	O	O	O																																
Berlino	e	la	sua	decadenza	furono	una	buona	idea	.																															
O	O	O	O	O	O	O	O	O	O																															
He	made	magic	.																																					
O	O	O	O																																					
Ha	fatto	magie	.																																					
O	O	O	O																																					
But	you	are	mine	,	even	if	the	city	of	Urkesh	is	not	.																											
O	O	O	O	O	O	O	O	B	I	I	O	O	O																											
Ma	tu	sei	mio	,	anche	se	la	città	di	Urkesh	non	lo	è	.																										
O	O	O	O	O	O	O	O	B	I	I	O	O	O	O																										
Sentinel	,	what	is	left	of	the	night	?																																
O	O	O	O	O	O	O	O	O																																
Sentinella	,	quanto	resta	della	notte	?																																		
O	O	O	O	O	O	O																																		
Privolva	never	sees	Earth	(	Volva	)	,	Subvolva	sees	Volva	as	their	moon	.																										
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																										
Privolva	non	vede	mai	la	Terra	(	Volva	)	,	Subvolva	vede	Volva	come	la	loro	luna	.																							
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O																							
Those	who	used	vos	were	people	of	the	lower	classes	and	peasants	.																												
O	O	O	O	O	B	I	I	I	I	O	O	O																												
Coloro	che	usavano	vos	erano	persone	delle	classi	inferiori	e	dei	contadini	.																												
O	O	O	O	O	B	I	I	I	O	O	O	O																												
Help	someone	to	build	a	house	.																																		
O	O	O	O	O	O	O																																		
Aiutare	qualcuno	a	costruire	una	casa	.																																		
O	O	O	O	O	O	O																																		
Why	do	we	go	to	the	doctor	?																																	
O	O	O	O	O	O	O	O																																	
Perché	andiamo	dal	medico	?																																				
O	O	O	O	O																																				
He	was	a	benefactor	of	the	cities	he	founded	.																															
O	O	O	B	I	I	I	O	O	O																															
Fu	un	benefattore	delle	città	che	fondò	.																																	
O	O	B	I	I	O	O	O																																	
Where	you	shoot	them	is	your	responsibility	as	parents	.																															
O	O	O	O	O	O	O	O	O	O																															
Dove	è	responsabilità	vostra	come	genitori	.																																		
O	O	O	O	O	O	O																																		
Do	the	Chinese	not	show	us	another	example	of	the	same	nature	?																												
O	O	O	O	O	O	O	O	O	O	O	O	O																												
I	Cinesi	non	dimostrano	un	altro	esempio	di	questa	stessa	natura	?																													
O	O	O	O	O	O	O	O	O	O	O	O																													
He	then	does	the	same	for	the	rivers	and	the	towns	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
Fece	quindi	lo	stesso	lavoro	per	i	fiumi	e	le	città	.																													
O	O	O	O	O	O	O	O	O	O	O	O																													
Is	this	what	two	decades	have	done	to	free	speech	?																														
O	O	O	O	O	O	O	O	B	I	O																														
È	questo	che	due	decenni	hanno	fatto	per	la	libertà	di	parola	?																												
O	O	O	O	O	O	O	O	O	B	I	I	O																												
2002	Seyir	;	for	25	European	and	non	European	instruments	.																														
O	O	O	O	O	B	I	I	I	I	O																														
2002	Seyir	;	Per	25	Strumenti	Europei	e	non	Europei	.																														
O	O	O	O	O	B	I	I	I	I	O																														
No	,	I	did	not	worry	about	the	Eastland	.																															
O	O	O	O	O	O	O	O	O	O																															
No	,	non	mi	preoccupavo	per	la	Eastland	 .																																
O	O	O	O	O	O	O	O	O																																
Is	aletheia	then	less	than	truth	?																																		
O	O	O	O	O	O	O																																		
È	allora	aletheia	meno	che	verità	?																																		
O	O	O	O	O	O	O																																		
And	it	came	to	pass	at	the	seventh	time	,	that	he	said	:	Behold	,	there	ariseth	a	little	cloud	out	of	the	sea	,	like	a	man	's	hand	.									
O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	B	I	O	O	O	O	O	O	O	B	I	I	O									
